I need an answer.	Necesito una respuesta.
Don't worry.	No os preocupéis.
It's sweltering.	Esto es sofocante.
Cover your arms.	Cúbrete los brazos.
Can you walk?	¿Podéis andar?
Everything is bad.	Todo es malo.
She's hot.	Está que cruje.
Close the box.	Cierra la caja.
They demoted you.	Te descendieron.
I'm pretty resilient.	Soy bastante resistente.
You're among friends.	Estás entre amigos.
Here we are.	Aquí estamos.
We can go.	Nos podemos marchar.
Start the engines.	Enciendan los motores.
The attempt failed.	El intento falló.
We depend on you.	Dependemos de usted.
I have to win.	Tengo que ganar.
Try this on.	Pruébate este.
It seems strange.	Parece extraño.
Put your gun down.	Baja tu arma.
We should be together.	Deberíamos estar juntos.
I like apples.	Me gustan las manzanas.
I deserve happiness.	Merezco la felicidad.
I'm helping Tom.	Estoy ayudando a Tom.
We need your key.	Necesitamos su llave.
Hop in.	Métete adentro.
Why did you cry?	¿Por qué llorabas?
You're single.	Estás soltero.
I think he'll come.	Pienso que vendrá.
When will you start?	¿Cuándo empezarás?
I'm coming home.	Vuelvo a casa.
He delivers newspapers.	Reparte periódicos.
What a wonderful surprise!	¡Qué sorpresa maravillosa!
Let us in.	Déjanos entrar.
Where's this place?	¿Dónde está este lugar?
Remind me later.	Recuérdamelo más tarde.
I must concentrate.	Tengo que concentrarme.
I'm not overweight.	No tengo sobrepeso.
You fainted.	Se desmayó.
Do you eat meat?	¿Comes carne?
Call me.	Llamadme.
Everyone was satisfied.	Cada uno quedó satisfecho.
We are almost there.	Estamos casi allí.
Take mine.	Toma el mío.
I had a stroke.	Tuve un golpe.
She is French.	Ella es francesa.
There's no milk left.	No queda leche.
Tom won't win.	Tom no ganará.
You're a suspect.	Eres un sospechoso.
We need more food.	Necesitamos más comida.
He's friendly.	Él es amigable.
I came here yesterday.	Ayer vine aquí.
I blame Tom.	Yo culpo a Tom.
I wouldn't be surprised.	No me sorprendería.
He came without notice.	Vino sin avisar.
I need air.	Necesito aire.
You are a woman.	Eres una mujer.
You look good.	Estás bien.
I enjoy chess.	Yo disfruto jugar ajedrez.
They're not stupid.	No son estúpidos.
Is he right?	¿Está en lo cierto?
Break it down.	Estropéalo.
I need the money.	Necesito el dinero.
I bought it yesterday.	Lo compré ayer.
It made me smile.	Me hizo sonreír.
I wasn't punctual.	No fui puntual.
Tom introduced himself.	Tom se presentó.
You'll find somebody.	Encontraréis a alguien.
What would you do?	¿Tú qué harías?
Tom is learning.	Tom está aprendiendo.
Go to sleep.	Vete a dormir.
I ate fish yesterday.	Ayer comí pescado.
It was really close.	Estuvo muy cerca.
Tom is singing.	Tom está cantando.
Tom stopped drinking.	Tom dejó de tomar.
You need to have breakfast.	Necesitas desayunar.
Tom looked pale.	Tom parecía pálido.
Let's get together again!	¡Volvamos a juntarnos!
What happens today?	¿Qué pasa hoy?
They're waiting outside.	Ellos están esperando afuera.
You are mad.	Estás loca.
Have a seat.	Tome asiento.
I want to drive.	Quiero conducir.
Tom cared.	Tom se preocupó.
Keep warm.	Mantenete caliente.
We got drunk together.	Nos emborrachamos juntos.
Please be polite.	Por favor, sé educado.
They all watched.	Todos comtemplaron.
Is it good?	¿Está bueno?
She likes sleeping.	Le gusta dormir.
Please come downstairs.	Por favor, vayan abajo.
Don't die.	¡No te mueras!
That's true.	Eso es cierto.
Did you win?	¿Ganaste?
That was stupid.	Eso fue tonto.
Answer me.	Respóndanme.
She stopped talking.	Ella paró de hablar.
I can make it.	Yo puedo hacerlo.
Are you coming?	¿Vendrás?
You're smart.	Son listos.
I'm going right now.	Voy ya mismo.
This changes things.	Esto cambia las cosas.
Spring has come.	Llegó la primavera.
I need a ruler.	Necesito una regla.
Is that an order?	¿Es una orden?
They started fighting.	Ellos empezaron a pelear.
Tom looks bored.	Tom se ve aburrido.
I still hate you.	Aún te odio.
It is Sunday tomorrow.	Mañana es domingo.
I'm already engaged.	Ya estoy comprometida.
You are drunk!	¡Estás borracho!
We are doctors.	Somos médicos.
I consented to go.	Accedí a ir.
Take a card.	Saque una carta.
The pain has gone.	El dolor desapareció.
Stay strong.	Sigue fuerte.
We ate eggs.	Hemos comido huevos.
Accidents are inevitable.	Los accidentes son inevitables.
I'm on strike.	Estoy en huelga.
See you around.	Te veo por ahí.
I'll be back right away.	Volveré pronto.
You're pretty.	Eres guapa.
It's your duty.	Es tu deber.
Do you like swimming?	¿Os gusta nadar?
She picked flowers.	Ella recogió flores.
I'm broke.	Estoy sin blanca.
I like surprises.	Me gustan las sorpresas.
You're always singing.	Cantas todo el rato.
Aren't you hungry?	¿No tienes hambre?
Is this pure gold?	¿Es oro puro?
What a pain!	Qué dolor.
I admire you.	Te admiro.
He's an author.	Él es un escritor.
Those are bears.	Esos son osos.
We're through.	Hemos concluido.
They're dancing.	Están bailando.
You can wait here.	Puedes esperar aquí.
They're watching you.	Ellos te están observando.
What a pity!	Qué lástima.
You're too drunk.	Sos demasiado borracho.
Where's our car?	¿Dónde está nuestro coche?
Stop there.	Detente ahí.
They're correct.	Son correctos.
My stomach hurts.	Me duele el estómago.
Tom failed.	Tom reprobó.
We were under attack.	Estábamos siendo atacados.
Don't stop.	No te pares.
We're communists.	Somos comunistas.
Put it there.	Ponlo ahí.
Didn't you take precautions?	¿No tomaron precauciones?
I fell.	Me caí.
Let's take a train.	Vayamos en tren.
I bribed the policeman.	Soborné al policía.
I like spoons.	Me gustan las cucharas.
Let him in.	Déjalo entrar.
I didn't stop.	Yo no paré.
I don't want tea.	No quiero té.
Seize him!	¡A por él!
I felt repulsed.	Me sentí rechazado.
It wasn't intentional.	No fue intencional.
I have a pen.	Tengo una pluma.
Are you watching it?	¿Lo estás viendo?
You're my enemy.	Tú eres mi enemiga.
I didn't expect anything.	No esperaba nada.
Tighten this screw.	Apriete este tornillo.
It's working.	Está funcionando.
I'm not going.	No voy.
Are they Japanese?	¿Ellos son japoneses?
I always fail.	Siempre fracaso.
We'll continue to be vigilant.	Permaneceremos vigilantes.
He wanted female companionship.	Quería compañía femenina.
I finally won.	Yo finalmente gané.
We love Tom.	Amamos a Tom.
Here, try this.	Toma, prueba esto.
Don't ever doubt it.	Ni lo dudes.
Is it yours?	¿Es suyo?
Are you a wizard?	¿Eres mago?
Are you satisfied?	¿Estáis satisfechos?
Can he see me?	¿Puede verme?
It frosted last night.	Heló anoche.
They're about to start.	Están por empezar.
The soldier ran.	El soldado corrió.
Will you come back tomorrow?	¿Volverás mañana?
Can you pay attention?	¿Podés darme bola?
Tom looks interested.	Tom parece interesado.
Is there any room left?	¿Queda hueco?
Where can I pray?	¿Dónde puedo rezar?
They'll understand.	Van a entender.
What's a pandemic?	¿Qué es una pandemia?
Tom went on foot.	Tom fue andando.
You're depressing me.	Me estás bajoneando.
Are we sinking?	¿Nos estamos hundiendo?
Give me your shirt.	Dame tu camisa.
We respect them.	Las respetamos.
We're engaged.	Estamos comprometidos.
Do you know him?	¿Le conoce?
I don't speak fast.	No hablo deprisa.
You should've stood up.	Deberían haberse alzado.
I did something similar.	Hice algo similar.
They're handcuffed.	Están esposados.
Are you sleeping?	¿Ya te has dormido?
Tom walks fast.	Tom camina rápido.
Can I stop by?	¿Puedo visitar?
Let him in.	Dejalo entrar.
They were swimming.	Ellos nadaban.
Am I fired?	¿Estoy despedido?
Tom wasn't fine.	Tom no estaba bien.
You're running late.	Vas tarde.
I can't follow you.	No puedo seguirte.
You needed me.	Me necesitabas.
The baby cried.	El bebé lloró.
What did you answer?	¿Qué respondiste?
It seems likely.	Parece probable.
Does your wife work?	¿Tu esposa trabaja?
Are you sorry?	¿Lo sentís?
Will you share it?	¿Lo compartes?
You scare me.	Me asustas.
Tom was scared.	Tom estaba aterrado.
I can't talk.	No puedo hablar.
Fortunately, no one died.	Afortunadamente, nadie murió.
Go now.	Vaya ya.
I don't steal.	Yo no robo.
It looks appetizing.	Luce sabroso.
Bring me my shoes.	Traeme mis zapatos.
That's our fault.	Es nuestra culpa.
I want one.	Yo quiero uno.
Write everything down.	Anotad todo.
I stayed up all night.	Trasnoché.
Let's talk about love.	Hablemos de amor.
I read the book.	Leo el libro.
I will stay.	Me quedaré.
Tom will obey.	Tom obedecerá.
I'll read it.	Lo voy a leer.
Can you teach me?	¿Puedes enseñarme?
They'll fail.	Fallarán.
Kids are cruel.	Los niños son crueles.
Thanks in advance.	Te agradezco de antemano.
These are ours.	Estas son nuestras.
We're avoiding Tom.	Estamos evitando a Tom.
Tom vomited.	Tom vomitó.
They clinked glasses.	Tintinearon las copas.
He seems honest.	Él parece honesto.
Don't wake him up.	No lo despiertes.
I hired an assistant.	Contraté un ayudante.
We'll have guests tomorrow.	Mañana tendremos invitados.
Tom is optimistic.	Tom es optimista.
They have families.	Ellos tienen familias.
Don't get scammed.	No te dejes engañar.
Driving relaxes me.	Conducir me relaja.
I have a suggestion.	Tengo una sugerencia.
I want something sweet.	Quiero algo dulce.
Did you go there?	¿Te fuiste allí?
Do you have any children?	¿Tenéis hijos?
Close your eyes.	Cerrad los ojos.
Draw a picture of it.	Dibujadlo.
Tom lives nearby.	Tom vive cerca.
I have two cars.	Tengo dos automóviles.
Stay absolutely still.	Mantente totalmente quieto.
You're unfair.	Usted es injusto.
Are they coming, too?	¿Ellos también vienen?
Nothing happened.	No pasó nada.
Let's go.	¡Órale!
I'm expecting a shipment.	Espero una entrega.
Do you speak English?	¿Habla usted inglés?
Do you like talking?	¿Te gusta hablar?
Could you elaborate?	¿Podría dar más detalles?
Tom isn't babbling.	Tom no está murmurando.
It's official.	Esto es oficial.
I'm very forgetful.	Soy muy olvidadizo.
I know your language.	Conozco vuestra lengua.
Write me.	Escríbeme.
I'm super confused.	Estoy bastante confuso.
I see the crown.	Veo la corona.
I'll be waiting.	Estaré esperando.
That was Tom.	Ese era Tom.
It was snowing.	Estaba nevando.
I had to go.	Tuve que ir.
Hi, guys.	Ey, chavales.
I am a college student.	Soy universitario.
Identify yourselves.	Identificaos.
That was inappropriate.	Eso fue inapropiado.
Time is limited.	El tiempo es limitado.
Stand aside!	¡A un lado!
I'd like to see him.	Quisiera verlo.
I punished Tom.	Castigué a Tom.
Isn't that marvelous?	¿No es eso maravilloso?
No one knows.	Nadie sabe.
Give me the keys.	Dame las llaves.
Close that door.	Cerrá esa puerta.
It's cool.	Está fresco.
Aren't you glad?	¿No estás feliz?
Try on another one.	Prueba con otra.
I felt hungry.	Tenía hambre.
They crushed all resistance.	Aplastaron toda resistencia.
Can he speak French?	¿Él habla francés?
I'm sloshed.	Estoy borracho.
We were enemies.	Éramos enemigos.
I don't want meat.	No quiero carne.
You must work.	Tienes que trabajar.
Watch carefully.	Mirá cuidadosamente.
They look good.	Parecen estar bien.
Who did you see?	¿A quién viste?
Have you seen this?	¿Has visto esto?
Tom started eating.	Tom empezó a comer.
Just keep going.	Solo continúa.
Eat more slowly.	Come más despacio.
Drink something.	Tómate algo.
Food costs money.	La comida cuesta dinero.
We're so happy.	Somos tan felices.
What are you reading?	¿Qué estás leyendo?
Hand me my mug.	Tráeme mi taza.
Give me your opinion.	Dime tu opinión.
Stop that car.	Detén ese coche.
You're hopeless.	No tienes remedio.
We're ambidextrous.	Somos ambidextros.
Tom can do it.	Tom puede hacerlo.
Look closely.	Mira atentamente.
Be yourself.	Sé tú misma.
I was away.	Estaba fuera.
He will come tomorrow.	Él vendrá mañana.
Tom was caught lying.	Tom cayó redondito.
You must do it.	Tienes que hacerlo.
Come out here.	Sal aquí.
Birds fly.	Los pájaros vuelan.
I envy him.	Lo envidio.
We are here.	Estamos aquí.
I should quit.	Yo debería renunciar.
You're free.	Eres libre.
It's right.	Está bien.
Tom intervened.	Tom intervino.
He is doing well.	Va bien.
We're making great progress.	Estamos avanzando enormemente.
I have poor eyesight.	Tengo mala vista.
It's monkey meat.	Es carne de mono.
Atlantis is real.	La Atlántida es real.
They were sleeping.	Estaban durmiendo.
They're cold.	Ellos tienen frío.
That's absolutely right.	Eso es totalmente correcto.
Tom will go first.	Tom irá primero.
What's that thing?	¿Qué es esa cosa?
It wasn't real.	No fue real.
I'm a tennis player.	Soy un tenista.
Finish this.	Terminá esto.
What're you doing today?	¿Qué hacés hoy?
Tom was inside.	Tom estaba adentro.
Tom started dreaming.	Tom empezó a soñar.
Please turn over.	Dese vuelta, por favor.
It rained heavily yesterday.	Llovió fuerte ayer.
We want to negotiate.	Queremos negociar.
Please stop talking.	Por favor, cállate.
Someone's behind me.	Hay alguien detrás mío.
They're my friends.	Son mis amigos.
What have you found?	¿Qué has encontrado?
That works.	Eso funciona.
Call me, please.	Llámame, por favor.
What a fine view!	¡Qué bonita vista!
We love you.	Te amamos.
Who's there?	¿Quién está ahí?
Let's go swimming.	Vayamos a nadar.
I need an aspirin.	Necesito una aspirina.
Get out of here.	Sal de aquí.
I'm pretty sore.	Me duele todo.
It didn't bother me.	No me jodió.
It looks fun.	Se ve divertido.
She turned him down.	Ella lo rechazó.
Tom never cheats.	Tom nunca hace trampa.
Sweep my room.	Barre mi cuarto.
Get me a lawyer.	Consígueme un abogado.
I pay taxes.	Yo pago impuestos.
It's 50 yen.	Son 50 yenes.
What did Tom know?	¿Qué sabía Tom?
Let's see who wins!	¡Veamos quién gana!
Tom respected Mary.	Tom respetó a Mary.
I left the country.	Dejé el país.
Who'd you invite?	¿A quién invitarían?
I can't forget this.	No puedo olvidarlo.
That dog jumped.	Ese perro saltó.
Tom is packing up.	Tom está empacando.
They were very confused.	Estaban muy confundidos.
Nobody listened to me.	Nadie me escuchó.
It's our fault.	Es culpa nuestra.
That'll last.	Eso durará.
She's a fox.	Ella es una zorra.
What are you celebrating?	¿Qué celebráis?
That's too personal.	Eso es demasiado personal.
I don't understand them.	No los entiendo.
Are they criminals?	¿Son criminales?
Come outside with me.	Ven conmigo afuera.
What do you mean?	¿Qué quieren decir?
Who signed that?	¿Quién firmó eso?
Stick to the subject.	¡Cíñete al tema!
It cost $30.	Costó 30 dólares.
I loved you.	Yo os quería.
Is this French?	¿Esto es francés?
Stop patronizing me.	Deja de condescender conmigo.
I don't need money.	No necesito dinero.
Memorize it.	Memórizala.
What did he say?	¿Qué dijo?
I said no.	Dije que no.
I changed.	Cambié.
They're green.	Están verdes.
It's absolutely beautiful.	Es completamente hermoso.
He lives close by.	Él vive cerca.
I hope you understand.	Espero que entiendas.
Fight or die.	Lucha o muere.
They were amazing.	Eran maravillosos.
I'm married.	Soy casada.
We were really tight.	Éramos una piña.
I needed help.	Yo necesitaba ayuda.
Keep notes.	Toma apuntes.
Tom knows things.	Tom sabe cosas.
Prices have jumped.	Los precios volaron.
It is too expensive.	Es tan caro.
No one understands you.	Nadie te entiende.
I require your advice.	Necesito vuestro consejo.
Tom was disfigured.	Tom estaba desfigurado.
Bring me my glasses.	Tráeme las gafas.
I'm hit!	Estoy afectado.
Look at these.	Fíjate en éstos.
We always argued.	Siempre discutíamos.
Tom started reading.	Tom comenzó a leer.
I prefer dogs.	Prefiero a los perros.
He's demented.	Él está demente.
I remember them.	Me acuerdo de ellas.
Were you home?	¿Estabas en casa?
They saw Tom.	Vieron a Tom.
I wish to leave.	Me gustaría irme.
I accept gifts.	Acepto regalos.
Tom writes poetry.	Tom escribe poesía.
It's too heavy.	Es demasiado pesado.
You're quite smart.	Eres bastante listo.
We were hurt.	Estábamos heridos.
Avoid the obstacles.	Sortead los obstáculos.
Please, tell me.	Dímelo, por favor.
Now try to sleep.	Ahora intenten dormir.
He was cheating.	Estaba haciendo trampa.
Prices went up.	Los precios subieron.
Let's be honest.	Seamos sinceros.
I want your respect.	Quiero tu respeto.
I'd appreciate it.	Lo agradecería.
Are you comfortable?	¿Está usted cómodo?
That sounds beautiful.	Eso suena hermoso.
They're rich.	Son ricas.
Don't talk nonsense!	¡No digas tonterías!
Tom ate nothing.	Tom no comió nada.
It can't be helped.	No queda otra.
Do you usually eat breakfast?	¿Suele desayunar?
It's nothing personal.	No es nada personal.
I fell asleep.	Me quedé dormido.
Be prudent.	Sé prudente.
Tom is weakening.	Tom se debilita.
Let me pay.	Déjame pagar.
Write me something.	Escríbeme algo.
Are we stupid?	¿Somos tontos?
That's really great!	Es realmente magnífico.
What a wonderful party!	¡Qué fiesta maravillosa!
I'm mad at you.	Estoy enfadado contigo.
Keep writing.	Seguí escribiendo.
Head south.	Id hacia el sur.
It doesn't seem fair.	No parece justo.
I'm very fat.	Soy muy gordo.
Make a guess.	Adivina.
I want a beer.	Quiero una cerveza.
Tom works here.	Tom trabaja acá.
Tom has diabetes.	Tom tiene diabetes.
I'm always careful.	Siempre tengo cuidado.
They feared you.	Ellos te temían.
I have a hangover.	Tengo resaca.
Don't you like me?	¿No te gusto?
I don't need you.	No te necesito.
Are you still sore?	¿Os duele todavía?
You're under arrest.	Estás detenido.
Which key is it?	¿Cuál llave es?
Mary had twins.	María tuvo gemelos.
Just go for it.	Simplemente hazlo.
Be a man.	Sé un hombre.
I got jealous.	Yo me puse celoso.
Are you being serious?	¿Es en serio?
What have you done?	¿Qué habéis hecho?
We got robbed.	Fuimos robados.
He ordered a beer.	Pidió una cerveza.
I want one!	¡Quiero una!
Who came?	¿Quién vino?
Checks are accepted.	Aceptamos cheques.
There's another possibility.	Hay otra posibilidad.
There's a fish.	Hay un pez.
Show me another example.	Enséñame otro ejemplo.
Let's make a list.	Hagamos una lista.
I'm selling my car.	Vendo mi coche.
Tom continued writing.	Tom continuó escribiendo.
It's almost over.	Está casi acabado.
Thank you for this.	Gracias por esto.
Tom is listening.	Tom está escuchando.
He quit smoking.	Él dejó el cigarro.
I feel stupid.	Yo me siento estúpido.
What did you accomplish?	¿Qué lograste?
Please smile.	Sonreíd.
Speak softly.	Habla en voz baja.
Save your breath.	Ahórrate la palabrería.
Are you healthy?	¿Estás sano?
Have fun.	Pásenla bien.
She's stubborn.	Ella es cabezota.
I'll understand.	Lo comprenderé.
They arrested Tom.	Arrestaron a Tom.
Please wait.	Espera un momento.
You're unfair.	Eres injusto.
Everyone was upset.	Todos estaban molestos.
Tom was talkative.	Tom fue hablador.
You should move here.	Deberías mudarte aquí.
Tom obeyed.	Tom obedeció.
Don't be evil.	No seas malo.
We're reliable.	Somos confiables.
Did they understand?	¿Entendieron?
Tom dumped Mary.	Tom abandonó a Mary.
We'll help.	Ayudaremos.
What a disappointment!	¡Qué decepción!
We're in a hurry.	Estamos apurados.
You're very smart.	Son muy inteligentes.
Tom nodded silently.	Tom asintió en silencio.
Pack your bags.	Haz tus maletas.
He grew old.	Él envejeció.
Consider the options.	Considera las opciones.
My heart hurts.	Me duele el corazón.
You got very drunk.	Estás muy borracho.
They're old.	Son ancianos.
We all change.	Todos cambiamos.
It's ready.	Está listo.
Winter is coming.	Está llegando el invierno.
Come see me.	Ven a verme.
I'm going to kiss you.	Te besaré.
Can you manage alone?	¿Podés hacerlo solo?
What's the word?	¿Cuál es la palabra?
Where's the pen?	¿Dónde está el bolígrafo?
They can't escape.	No pueden escapar.
It was snowing.	Nevaba.
Tom lost Mary.	Tom perdió a Mary.
You're funny.	Eres gracioso.
Yes, I know it.	Sí, lo sé.
God bless you!	¡Que Dios te bendiga!
Answer the question.	Responda la pregunta.
You're not funny.	No eres divertido.
Come with us.	Venid con nosotros.
Tom looks restless.	Tom se ve impaciente.
What's your position?	¿Cuál es tu puesto?
Have they gone?	¿Han salido?
Do you have tuna fish?	¿Tienen atún?
They were together.	Estaban juntos.
Speak clearly.	Hable claramente.
We're almost there.	Estamos casi allí.
Eat healthily.	Coma sano.
There was absolute silence.	Había silencio absoluto.
Control yourself!	¡Contrólate!
Stay away.	Fuera.
We're doing something.	Estamos haciendo algo.
We started singing.	Empezamos a cantar.
They're hiding.	Ellos están escondidos.
He doesn't sleep.	No duerme.
Here I am.	Acá estoy.
I'm coming for Tom.	Voy por Tom.
I could kill you.	La podría matar.
There were three men.	Había tres hombres.
They must die.	Deben morir.
What a pretty woman!	¡Qué linda mujer!
That was harsh.	Eso fue aspero.
It's an emergency.	Está en urgencias.
Don't leave.	No se vayan.
You deserve to succeed.	Mereces triunfar.
Can I go first?	¿Puedo ser primero?
That's my idea.	Esa es mi idea.
Wait your turn.	Espera tu turno.
It's questionable.	Es discutible.
It's not real.	No es real.
I'll be fine.	Estaré bien.
What's the rule?	¿Cuál es la norma?
Do you like that?	¿Te gusta eso?
Tom exercises.	Tom hace ejercicio.
Take a break.	Descansa.
You drive too fast.	Conducís muy deprisa.
I'd rather not sing.	Prefiero no cantar.
Tom's violent.	Tom es violento.
You're invited.	Estás invitado.
Study these sentences.	Estudia estas frases.
I'm ugly.	Soy fea.
It was very beautiful.	Fue muy bonito.
Tom was available.	Tom estaba disponible.
I was busy yesterday.	Ayer estuve ocupada.
Do you all understand?	¿Entendéis?
You're witty.	Eres ocurrente.
Tom is a writer.	Tom es escritor.
Come quick!	¡Ven rápido!
You're so immature.	Sos muy inmaduro.
Tell me more.	Cuénteme más.
Please continue.	Por favor continúe.
I see your house.	Veo tu casa.
It's easy to prepare.	Es fácil prepararlo.
We all knew it.	Todos lo sabíamos.
What are you learning?	¿Qué estás aprendiendo?
Are you coming?	¿Te vienes?
Don't talk nonsense.	No hables tonterías.
They know you.	A ustedes les conocen.
Wait for us.	Espera por nosotros.
Don't disappoint him.	No le decepciones.
I was welcomed.	Fui bienvenido.
Hold on to me.	Aférrate a mí.
I'm nearsighted.	Soy miope.
Wait, don't shoot!	¡Espere, no dispare!
Let me leave!	¡Déjame irme!
Try that on.	Pruébate ese.
Everybody jumped.	Todos saltaron.
I'm wide awake.	Estoy muy despierto.
It's late.	Es tarde.
I wasn't unhappy.	Yo no era infeliz.
You're incredibly talented.	Es increíblemente talentosa.
It was very upsetting.	Fue muy decepcionante.
Run.	Corred.
We watched a movie.	Vimos una película.
I need this job.	Necesito ese empleo.
That's not enough.	Eso no es suficiente.
Who needs that?	¿Quién necesita eso?
Let him go!	¡Déjale irse!
Tom is invited.	Tom está invitado.
That looks good.	Tiene buen aspecto.
We're moving.	Nos cambiamos.
It was really fun.	Fue muy divertido.
Knock on the door.	Toca la puerta.
He is wearing glasses.	Él lleva gafas.
Tom came upstairs.	Tom subió las escaleras.
We'll always be together.	Siempre estaremos juntos.
I need a cab.	Necesito un taxi.
Are they speaking French?	¿Ellos hablan francés?
The king is coming.	El rey viene.
The cup broke.	La copa se quebró.
She has few friends.	Tiene pocas amigas.
They're coming.	Vienen.
Answer the question.	Responde la pregunta.
Is there a problem?	¿Hay un problema?
Are you nervous?	¿Están nerviosas?
Let me back in.	Déjame entrar.
Over here, sir.	Por aquí, señor.
Adjust the brakes.	Ajustad los frenos.
She sang happily.	Ella cantaba alegremente.
Tom loves books.	Tom ama los libros.
I own this car.	Tengo este auto.
You always seem tired.	Siempre pareces cansado.
I obeyed the rules.	Obedecí las reglas.
It's playtime.	Es hora de jugar.
Come back here.	Vuelve aquí.
We'll live like kings.	Viviremos como reyes.
Tom lives there.	Tom vive allí.
Go when you want.	Vete cuando quieras.
Here they come.	Aquí vienen.
Put on your coat.	Ponte el abrigo.
I caught a fish!	¡Atrapé un pez!
Nothing's working.	No funciona nada.
You know her.	Usted la conoce.
Tom chuckled.	Tom soltó una risita.
You've got me.	Me tiene a mí.
Hide the money.	Escondé la plata.
Please accompany me.	Acompáñame, por favor.
They ate supper.	Ellas cenaron.
I mean that.	A eso me refiero.
I'll kill him.	Le mataré.
Accidents do happen.	Los accidentes ocurren.
I'll kill him.	Lo mataré.
I'll be in Boston.	Estaré en Boston.
He kissed her.	Él la besó.
We're thieves.	Somos ladrones.
Sheep eat grass.	Las ovejas comen pasto.
Let's sit together.	Sentémonos juntos.
Come up here.	Suba aquí.
I'm a swimmer.	Soy nadador.
No one encouraged her.	Nadie la animó.
Good morning, everyone.	Buenos días a todos.
Who cheated?	¿Quién hizo trampas?
Move over.	Deja sitio.
I brought wine.	Traje vino.
These shoes hurt.	Estos zapatos me lastiman.
Do you drink coffee?	¿Tomás café?
It's acceptable.	Es aceptable.
Welcome.	Bienvenidas.
I'm at home.	Estoy en la casa.
Tom's gone.	Tom se ha ido.
I'm going to sleep.	Voy a dormir.
What're you reading?	¿Qué leéis?
I want to dance.	Quiero bailar.
They didn't pay me.	No me pagaron.
It's not fair.	No es justo.
He will regret this.	Lo lamentará.
She's hot.	Está como un tren.
Tom is a racist.	Tomás es racista.
I'm your friend.	Soy tu amiga.
We'll survive.	Sobreviviremos.
Shut up!	¡Ya cállate!
I hear that.	Yo escucho eso.
We're objective.	Somos objetivos.
Wait here.	Esperen aquí.
We all want something.	Todos queremos algo.
It rained heavily.	Ha llovido mucho.
I wrote that.	Yo escribí eso.
That's life.	Así es la vida.
I'll pay for myself.	Pagaré lo mío.
We're having lunch.	Estamos almorzando.
Tom is unemployed.	Tom está desempleado.
I'd like another beer.	Quiero otra cerveza.
I'm hiding.	Yo estoy escondido.
This is an order.	Es una orden.
Burn the body.	Quemá el cuerpo.
That is mine.	Eso es mío.
Tom is speaking.	Tom está hablando.
It's nice.	Hace buen tiempo.
Nothing has changed.	No ha cambiado nada.
Does it hurt?	¿Duele?
I don't really remember.	Realmente no recuerdo.
We saw them leave.	Les vimos irse.
What do you want?	¿Qué querés?
Close your mouth.	Cierra la boca.
Tom is always absent.	Tom siempre falta.
We'll win.	Ganaremos nosotras.
Who's in command?	¿Quién está al mando?
Keep it in mind.	Tenlo en mente.
I hid.	Me oculté.
Let's talk about basketball.	Hablemos de basquetbol.
I'm very modest.	Soy muy modesto.
I was just remembering.	Solo estaba recordando.
I like tea.	Me gusta el té.
It'll be easy.	Será fácil.
Let's take that chance.	Corramos ese riesgo.
Tom is outstanding.	Tom es extraordinario.
School bores me.	El colegio me aburre.
I got carded.	Me pidieron la documentación.
Today's Monday.	Hoy es lunes.
Does she work hard?	¿Ella trabaja duro?
It will work.	Trabajará.
I respect you.	Yo te respeto.
She's my professor.	Ella es mi profesora.
Is it my turn?	¿Es mi turno?
I love that book.	Adoro ese libro.
I fought back.	Yo me defendí.
Tom is dumbfounded.	Tom está anonadado.
We have to sleep.	Tenemos que dormir.
Tom worked there.	Tomás trabajaba ahí.
Let's ask Tom.	Pidámosle a Tom.
Tom wasn't absent.	Tom no estaba ausente.
I didn't cheat.	No engañé.
I feel great.	Me siento genial.
You betrayed me.	Me traicionaste.
What killed Tom?	¿Qué mató a Tom?
You're very perceptive.	Eres muy perspicaz.
Are those yours?	¿Son suyos ésos?
I need scissors.	Necesito unas tijeras.
We have two daughters.	Tenemos dos hijas.
Are you a student?	¿Eres estudiante?
He killed himself.	Él se suicidó.
Come on.	¡Órale!
I almost gave up.	Casi cedo.
I wasn't invited.	No estaba invitada.
Maybe I'm wrong.	Puede que esté equivocado.
I was deeply moved.	Estaba profundamente emocionada.
Everyone was there.	Estuvieron todas.
I'm not kidding.	No estoy bromeando.
They decided to get married.	Decidieron casarse.
I wasn't happy.	No era feliz.
Tom is indiscreet.	Tom es indiscreto.
That's fantastic.	¡Eso es fantástico!
Can you see them?	¿Podéis verlas?
Tom respects Mary.	Tom respeta a Mary.
They found us.	Nos encontraron.
I'll catch up.	Yo le alcanzaré.
You've got mail.	Tienes correo.
I'll pick Tom up.	Recogeré a Tom.
When did you arrive?	¿Cuándo has llegado?
Pretend you're me.	Hazte pasar por mí.
You're afraid of him.	Le tenéis miedo.
I hope you're right.	Ojalá tengas razón.
Can I dance here?	¿Puedo bailar aquí?
I have a problem.	Tengo un problema.
That's absolutely correct.	Eso es totalmente correcto.
Are you guys OK?	¿Están bien?
I need more blankets.	Necesito más mantas.
You were lucky.	La sacaste barata.
It's eight-thirty.	Son las ocho y media.
It's really stressful.	Esto es realmente estresante.
When do you eat breakfast?	¿Cuándo desayunáis?
Nobody's been hurt.	Nadie ha resultado herido.
Are you sure?	¿Está segura?
He's very lonely.	Él es muy solitario.
Please clap.	Aplaudan, por favor.
