('regresalo', 'put it back')
('lo hubiera hecho yo solo si tom no hubiera estado alli', 'i would ve done it by myself if tom hadn t been there')
('ella podria venir', 'she might come')
('la cena esta casi lista', 'dinner is almost ready')
('cuantos anos tiene vuestro tio ?', 'how old is your uncle ?')
('le ruego que me perdone', 'i beg you to forgive me')
('compraron algunas papas ?', 'did you buy some potatoes ?')
('a que hora empieza la funcion ?', 'what time does the show start ?')
('tom es un buen musico', 'tom is a good musician')
('puedes senalar mi posicion en el mapa ?', 'could you show me where i am on this map ?')
('copia esto por favor', 'copy this please')
('por que necesitais una escalera nueva ?', 'why do you need a new ladder ?')
('tengo que hacerlo ahora', 'i have to do it now')
('tom le pregunto a mary si queria montar en su caballo', 'tom asked mary if she wanted to ride his horse')
('no quiero a nadie mas que a ti', 'i don t love anybody more than i love you')
('te gustara esta ciudad enseguida', 'you will soon come to like this town')
('no se que debo hacer despues', 'i don t know what to do next')
('estamos llorando', 'we re crying')
('nunca le temas a cometer errores', 'never be afraid of making mistakes')
('nunca he oido a tom hablar frances', 'i ve never heard tom speak french')
('como apago esto ?', 'how do i turn this off ?')
('tom tiene que quedarse donde esta', 'tom needs to stay where he is')
('se que es loco pero es cierto', 'i know it s crazy but it s true')
('tom esta en la cama con fiebre', 'tom is in bed with a fever')
('este diamante cuesta una fortuna', 'this diamond costs a fortune')
('mi tio tiene un buen conocimiento del frances', 'my uncle has a good knowledge of french')
('creo que me he partido la pierna', 'i think i broke my leg')
('cuando volvio de boston ?', 'when did you come back from boston ?')
('cookie es el perro mas adorable de todos', 'cookie is the cutest of all the dogs')
('tom le pregunto a mary si conocia su nueva direccion', 'tom asked mary if she knew his new address')
('el espia quemo los documentos', 'the spy burned the papers')
('nos quedamos toda la noche hablando', 'we sat up all night talking')
('necesito hacer una llamada', 'i need to make a phone call')
('no lo compro nada', 'he did not buy it after all')
('alimentaste al perro esta manana ?', 'did you feed the dog this morning ?')
('solo preguntas serias por favor', 'serious inquiries only please')
('quiero llegar al hotel antes de que oscurezca', 'i want to reach the hotel before it gets dark')
('estudiamos frances', 'we studied french')
('ese precio incluye impuestos ?', 'does that price include tax ?')
('no entren a mi cuarto', 'don t come into my room')
('tom estaba preparado', 'tom was ready')
('he dejado de beber cerveza', 'i ve quit drinking beer')
('estoy feliz de que tom este feliz', 'i m happy that tom is happy')
('investigar las causas del cancer es muy costoso', 'investigating the causes of cancer is very expensive')
('cuantas flores compro usted ?', 'how many flowers did you buy ?')
('tom continuo golpeando la puerta', 'tom continued banging on the door')
('tom odia la leche', 'tom hates milk')
('su padre le veia con malos ojos', 'his father disapproved of him')
('no entiendo vuestra pregunta', 'i don t understand your question')
('dejame ver', 'let me have a look at it')
('solo deseaba ir a la universidad', 'i just wanted to go to college')
('ellos estaban muy cansados para escalar la montana', 'they were too tired to climb a mountain')
('voy al colegio', 'i m going to school')
('asumo que aun juegas golf', 'i assume you still play golf')
('cuanto tiempo mas pretendes esperar ?', 'how much longer do you plan to wait ?')
('tienen muchos estudiantes', 'they have many students')
('por que hoy no hay ningun taxi en la estacion ?', 'why are there no taxis at the station today ?')
('el se subio con una escopeta en las manos', 'he got in with a shotgun in his hands')
('le gustaria comer algo ?', 'would you like to eat ?')
('un mundo mejor es posible', 'a better world is possible')
('tom parece estar mas nervioso que yo', 'tom seems to be more nervous than i am')
('grite', 'i screamed')
('me estas empezando a poner de los nervios', 'you re starting to get on my nerves')
('estoy cansado de escuchar tus quejas', 'i m sick of listening to your complaints')
('todos han dejado de trabajar', 'everyone has stopped working')
('no tuve suficiente tiempo', 'i didn t have enough time')
('no dejen que tom cierre esta puerta', 'don t let tom shut this door')
('mi padre tiene por norma dar un paseo todas las mananas', 'my father makes it a rule to take a walk every morning')
('practicamente todas las familias tienen television', 'practically every family has a tv')
('estare preparado', 'i ll be ready')
('ojala no tuviera que trabajar', 'i wish i didn t have to work')
('mi padre y yo vamos a pescar de vez en cuando', 'my father and i sometimes go fishing')
('esta pelicula esta basada en una novela', 'this film is based on a novel')
('no debes ceder a la tentacion', 'you must not yield to temptation')
('tengo el mismo problema que tu', 'i have the same trouble as you have')
('realmente me alegra oirlo', 'i m really glad to hear it')
('al parecer el plan ahora esta a la espera', 'apparently the plan is now on hold')
('no podemos cometer mas errores', 'we can t afford any more mistakes')
('se que significa mucho para tom', 'i know it means a lot to tom')
('no soy pesimista', 'i m not pessimistic')
('se merece el castigo', 'he deserves the punishment')
('tuvieron exito', 'they succeeded')
('ya no pienso en ello', 'i never think about it anymore')
('le enviare el enlace', 'i ll send you the link')
('nosotros hicimos la hora jugando cartas', 'we killed time by playing cards')
('tom empezo a escribir', 'tom started writing')
('lo unico que tienes que hacer es tener la boca cerrada', 'all you have to do is keep your mouth shut')
('tom se quito su camisa', 'tom took his shirt off')
('ambos perros duermen', 'both dogs are asleep')
('tom fue el primero que sugirio que esta podria ser la causa', 'it was tom who first suggested that this might be the cause')
('podrias decirme lo que hay que poner aqui ?', 'could you tell me what to put here ?')
('ya he hecho todo lo que me pediste que hiciera', 'i ve already done everything you ve asked me to do')
('el show empieza en diez minutos', 'the show starts in ten minutes')
('tom ha estado varias veces en boston', 'tom has been to boston several times')
('a tom le empezo a gustar mas y mas mary', 'tom began to like mary more and more')
('cancele mi compromiso por asuntos urgentes', 'i canceled my appointment because of urgent business')
('mantente en contacto', 'keep in touch')
('al final te habituaras a hacer esto', 'you ll eventually get used to doing this')
('no sabe nadar', 'she can t swim')
('que interesante !', 'how interesting !')
('hago esto por ti', 'i m doing this for you')
('sabes donde vivimos ?', 'do you know where we live ?')
('tu conoces todo', 'you know everything')
('la cama ocupa mucho espacio', 'the bed takes up a lot of room')
('se que no siempre es facil', 'i know it isn t always easy')
('que es tan gracioso ?', 'what s so funny ?')
('la tetera esta en la mesa', 'the teapot is on the table')
('suena absolutamente maravilloso', 'it sounds absolutely wonderful')
('creo que tomamos la decision correcta', 'i think we made the right call')
('nos divertimos mucho en el baile', 'we had a lot of fun at the dance')
('tom cree que hay esperanza', 'tom thinks there s hope')
('eso no va a pasar', 'it s not going to happen')
('si oprimes el boton la puerta se abrira', 'if you push the button the door will open')
('los vehiculos economicos te ahorran dinero', 'economy cars save you money')
('para cenar solo tome un poco de fruta', 'for dinner i only had a little fruit')
('tom era humilde', 'tom was humble')
('que quieres conmigo ?', 'what do you want with me ?')
('tom parece no poder encontrar un trabajo decente', 'tom can t seem to find a decent job')
('encontraste algo ?', 'have you found something ?')
('tom es romantico', 'tom is romantic')
('no son idiotas', 'they aren t stupid')
('cuando renove mi licencia de conductor tuve que decidir si queria ser donante de organos', 'when i got my driver s license renewed i had to decide if i wanted to be an organ donor')
('tienes algun empleado que hable frances ?', 'do you have any french speaking employees ?')
('quiza nieve esta noche', 'it s likely to snow this evening')
('ven ya', 'come here now')
('pense que te habian matado me alegro de haberme equivocado', 'i thought you d been killed i m glad i was wrong')
('el se opuso a nuestro plan', 'he objected to our plan')
('nuestro tema de la semana es la intolerancia', 'our topic of the week is intolerance')
('no gano mas que tu', 'i don t earn more than you')
('no llames a la policia', 'don t call the cops')
('me parecio haber visto tu coche', 'i thought i recognized your car')
('por que no estas aqui manana ?', 'why won t you be here tomorrow ?')
('tom solo queria que lo dejaran en paz', 'tom just wanted to be left alone')
('pedi prestado el auto de tom', 'i borrowed tom s car')
('el profesor confisco el movil de tom', 'the teacher confiscated tom s cellphone')
('ira a pasar el viejito pascuero este ano ?', 'is santa coming this year ?')
('quieres beber ?', 'do you want to drink ?')
('tu eres una persona', 'you re a person')
('este rio parece que va a desbordarse', 'this river looks like it s going to overflow')
('que clase de tratamientos recibire ?', 'what kind of treatment will i get ?')
('australia no es una excepcion', 'australia is no exception')
('tomas se olvido de tirar la cadena', 'tom forgot to flush the toilet')
('puedes pedir uno para mi ?', 'can you order one for me ?')
('el era un rostro nuevo en la politica estadounidense', 'he was a fresh face in american politics')
('mi madre esta ocupada plantando flores en el jardin', 'my mother is busy planting flowers in the garden')
('tom no esta llorando', 'tom isn t crying')
('tom se matriculo en las clases nocturnas de la universidad local', 'tom enrolled in night classes at a local college')
('de que se quejan ?', 'what are they complaining about ?')
('no apuntes a nadie con tu arma', 'don t point your gun at anyone')
('me llevo tu billetera', 'i m taking your wallet')
('podria deletrear su nombre por favor ?', 'could you spell your name please ?')
('puedo coger el autobus', 'i can take the bus')
('siempre hemos sido amigos', 'we ve always been friends')
('tomas es mas alto que maria ?', 'is tom taller than mary ?')
('como te va tom ?', 'how are you tom ?')
('no es eso raro ?', 'isn t that weird ?')
('me gustaria comprar esta muneca', 'i d like to buy this doll')
('tom suele comer solo', 'tom usually eats alone')
('aprecio la ayuda', 'i appreciate the help')
('tom espera verte en octubre', 'tom hopes to see you in october')
('ellos estaran a salvo aqui', 'they ll be safe here')
('la noticia la puso muy triste', 'the news made her very sad')
('tom nunca discute con su esposa en publico', 'tom never quarrels with his wife in public')
('mi esposa esta preparando la cena ahora mismo', 'my wife is preparing dinner right now')
('ella solia amarle', 'she used to love him')
('tengo algo para mostrarte', 'i have something to show you')
('me espero hasta que llegue', 'he waited for me until i arrived')
('te gustan los caracoles ?', 'do you like snails ?')
('no era nuestro', 'it wasn t ours')
('le tengo mas miedo a tom que a mary', 'i m more afraid of tom than i am of mary')
('tom tumbo a mary bebiendo', 'tom drank mary under the table')
('vas a mejorar', 'you re going to get better')
('sabes tocar la flauta ?', 'can you play the flute ?')
('mi corazon se lleno de felicidad', 'my heart was filled with happiness')
('hacia frio ?', 'was it cold ?')
('habia mas que suficiente comida', 'there was more than enough food')
('me tomo un rato convencerla', 'it took me some time to persuade her')
('puedo ayudarla ? no gracias solo estoy mirando', 'may i help you ? no thank you i m just looking')
('tom dice que ya no puede ignorar mas el comportamiento de mary', 'tom says he can t ignore mary s behavior any longer')
('hemos encontrado algo', 'we ve found something')
('ella estaba sorprendida de las noticias', 'she was surprised at the news')
('tom se ve joven', 'tom looks young')
('es facil perder la nocion del tiempo cuando estas en las vegas', 'it s easy to lose track of time when you are in las vegas')
('solo me comi una barrita de granola', 'i only ate one granola bar')
('ellos le daran la culpa de todo a tom', 'they ll blame tom for everything')
('quiero un abrazo', 'i want a hug')
('no te dejare escapar de aqui', 'i m not letting you escape from here')
('vayamos al meollo', 'let s get to the point')
('tom me enseno', 'tom taught me')
('fue en la manana del nueve de febrero cuando llegue a londres', 'it was on the morning of february the ninth that i arrived in london')
('esta medicina podria curarlo', 'this medicine may cure him')
('estas enfadado conmigo ?', 'are you angry with me ?')
('sus amigos se rieron de ella', 'she was laughed at by her friends')
('deberias vivir segun tus principios', 'you should live up to your principles')
('voy a tener un cachorrito', 'i m getting a puppy')
('tom puso la mesa para cenar mientras mary cocinaba', 'tom set the table for dinner while mary cooked')
('el precio de ese libro es de dolares', 'the price of that book is five dollars')
('mis zapatos son mas pequenos que los tuyos', 'my shoes are smaller than yours')
('le voy a decir a los demas', 'i ll go tell the others')
('no sabia que los perros nadaran bien', 'i didn t know that dogs swim well')
('el es un hombre comun', 'he s just an ordinary man')
('tom no sabe que espera mary de el', 'tom doesn t know what mary expects from him')
('no te apoyes en mi silla', 'don t lean on my chair')
('coge una escoba y ayudanos a limpiar', 'grab a broom and help us clean')
('mary es una mujer muy abnegada', 'mary is a very hard working woman')
('donde esta el problema ?', 'where is the problem ?')
('todos dicen que soy malo y tal vez tengan razon', 'everyone says i m bad and maybe they re right')
('no vale la pena preocuparse por eso', 'it isn t worth worrying about it')
('el jardin estaba lleno de hermosas flores amarillas', 'the garden was full of beautiful yellow flowers')
('mi hermana suele irse a pie a la escuela', 'my sister usually walks to school')
('me gusta caminar solo', 'i like walking by myself')
('vas de compras a menudo ?', 'do you often go shopping ?')
('tom estaba con mary', 'tom was with mary')
('le arroje una piedra al pajaro', 'i threw a stone at the bird')
('quieren comer ?', 'do you want to eat ?')
('conduzco un descapotable', 'i drive a convertible')
('en un comienzo el tuvo problemas acostumbrandose a vivir en su nueva casa', 'at first he had trouble adjusting to living in his new house')
('tom esta enamorado de otra mujer', 'tom is in love with another woman')
('parece sospechoso', 'it looks suspicious')
('tenemos mas en comun de lo que esperaba', 'we have more in common than i expected')
('viene un carro', 'there s a car coming')
('no es un arma', 'it s not a weapon')
('la tormenta me impidio el salir a dar un paseo', 'the storm prevented me from going out for a walk')
('ya no estoy seguro de nada', 'i m not sure of anything anymore')
('ellos han construido un puente', 'they constructed a bridge')
('creo que es hora de pasar un poco de tiempo con mis hijos', 'i think it s time for me to spend a little time with my children')
('tiene que quedarse hoy tom en casa ?', 'does tom need to stay home today ?')
('el brillaba por su ausencia', 'he was conspicuous by his absence')
('no estas exento de responsabilidad por esta grave situacion', 'you are not excused from the responsibility for this serious situation')
('tome un taxi al aeropuerto', 'i took a taxi to the airport')
('aun queda mucho de que hablar', 'there s a lot left to talk about')
('por lo que se eso no es verdad', 'as far as i know that isn t true')
('tom se hizo dano en la rodilla izquierda entrenando asi que john tuvo que jugar en su lugar', 'tom hurt his left knee during practice so john had to play the game in his place')
('que es ese edificio detras del hospital ?', 'what s that building behind the hospital ?')
('no entiendo y no estoy acostumbrado a no entender por favor expliquelo una vez mas', 'i don t understand and i m not used to not understanding please explain it once more')
('por favor no toque los objetos expuestos', 'please don t touch the exhibits')
('tom le pregunto a mary si le gustaria ir de compras', 'tom asked mary whether she d like to go shopping')
('tom quiere comer arroz frito', 'tom wants to eat fried rice')
('yo creo que el es feliz', 'i believe that he s happy')
('buscalo por favor', 'please look for it')
('se como me siento', 'i know how i feel')
('creo que es hora de que encienda la radio', 'i think it s time for me to turn on the radio')
('te invitaron a su fiesta de cumpleanos ?', 'were you invited to her birthday party ?')
('tom no es tan alto como yo', 'tom isn t as tall as i am')
('nadie perdio la esperanza', 'no one gave up hope')
('la medicina sabe amarga', 'the medicine tastes bitter')
('tom era violento', 'tom was abusive')
('tom esta preso', 'tom is in jail')
('trata de no llorar', 'try to keep from crying')
('tom esta leyendo un libro sobre la historia de australia', 'tom is reading a book about the history of australia')
('tom es arbitro', 'tom is a referee')
('el vestido es verde', 'the dress is green')
('haz lo que te mande tu corazon', 'do what your heart tells you to do')
('espere no dispare !', 'wait don t shoot !')
('ella es cabezota', 'she s stubborn')
('bebe demasiado alcohol', 'he drinks too much alcohol')
('tiene usted hermanos ?', 'do you have any brothers ?')
('esta usted ocupado ?', 'are you busy ?')
('estos son nuestros escritorios', 'these are our desks')
('estoy lavando los platos', 'i m washing the dishes')
('como se si una chica gusta de mi ?', 'how can i know if a girl likes me ?')
('no compre nada', 'i didn t buy anything')
('quien tiene miedo ?', 'who s scared ?')
('llenalo por favor', 'fill it up please')
('estoy engordando porque como muchos dulces', 'i am getting fat because i eat a lot of sweets')
('yo sospecho de el', 'i am suspicious of him')
('me siento claustrofobica', 'i m feeling claustrophobic')
('todo el mundo lo va a saber', 'everyone s going to know it')
('si no tenes cuidado te podes lastimar', 'if you re not careful you might hurt yourself')
('estoy planchando mi vestido', 'i m ironing my dress')
('va a funcionar', 'it s going to work')
('no puedes derrotar tu solo a tom', 'you can t defeat tom alone')
('no me gusto nada lo que dijo', 'i didn t like what he said at all')
('el no tiene nada que ver con eso', 'he has nothing to do with it')
('el avion despego y a lo pronto desaparecio', 'the plane took off and was soon out of sight')
('no tengo ganas de hacerlo', 'i don t really feel like doing that')
('que demonios te crees que estas haciendo ?', 'what on earth do you think you re doing ?')
('llevaron a tom al hospital para hacerle un lavaje de estomago porque comio algo toxico', 'they took tom to the hospital to have his stomach pumped because he ate something poisonous')
('a los ninos les gusta el jugo de fruta', 'children like fruit juice')
('algunas veces hablo con mi vecino frente a la cerca', 'i sometimes talk to my neighbor across the fence')
('el se ve hambriento', 'he seems hungry')
('encontrareis a alguien', 'you ll find somebody')
('cumple con su deber', 'he does his duty')
('cualquiera puede apreciar que tu interes es autentico', 'anyone can tell your interest is genuine')
('adonde queres ir ?', 'where do you want to go ?')
('yo atrape tres peces ayer', 'i caught three fish yesterday')
('cuanto cuesta aquel cachorro en la ventana ?', 'how much does that puppy in the window cost ?')
('te voy a llamar en una hora', 'i will call you in an hour')
('contrataremos a un hombre que sepa hablar ingles', 'we will employ a man who can speak english')
('este libro parecia interesante', 'this book seemed interesting')
('tomas queria que lo vieramos', 'tom wanted us to see it')
('por muy raro que parezca no se habia enterado de la noticia', 'strange to say he didn t know the news')
('a que profesores les estaban hablando ?', 'which teachers were you talking to ?')
('tom podria estar fuera', 'tom might be out')
('no consigo recordar su nombre', 'i can t remember her name')
('estare alli a las dos y media', 'i ll be there at')
('escribe tu nombre con lapiz por favor', 'please write your name with a pencil')
('nos pusimos de acuerdo', 'we agreed')
('tom es disenador grafico no ?', 'tom is a graphic designer isn t he ?')
('nunca te he olvidado', 'i ve never forgotten you')
('por que son todos tan malos conmigo ?', 'why is everyone so mean to me ?')
('la oferta fue rechazada', 'the offer was refused')
('el no puede haber perdido sus llaves', 'he can t have lost his keys')
('no desperdiciemos el poco tiempo que tenemos', 'let s not waste what little time we have')
('para que te estas preparando ?', 'what are you getting ready for ?')
('no estas del todo equivocado', 'you re not entirely wrong')
('manana tengo cosas que hacer', 'i have things to do tomorrow')
('a que si ?', 'isn t that right ?')
('el no estaba ganando un gran sueldo cuando se jubilo', 'he wasn t earning a large salary when he retired')
('sere discreto', 'i ll be discreet')
('tomas es mas rapido que maria ?', 'is tom faster than mary ?')
('estudiaste frances anoche ?', 'did you study french last night ?')
('asumo que desayunaste', 'i assume you ve had breakfast')
('es posible que hubiera fraude electoral', 'it s possible there was voter fraud')
('dejame manejar esto', 'let me handle this')
('como va la salud de tom ?', 'how s tom s health ?')
('todos se equivocan es por eso que pusieron gomas en los lapices', 'everybody makes mistakes that s why they put erasers on pencils')
('la tragedia sucedio repentinamente', 'the tragedy happened suddenly')
('tom y maria normalmente hablan frances entre ellos', 'tom and mary usually speak french to each other')
('nada sucede por casualidad', 'nothing happens by chance')
('ella es hiperactiva', 'she s hyperactive')
('tom se sintio solo', 'tom felt lonely')
('eres el hombre que buscaba', 'you re the man i ve been looking for')
('yo necesitaba eso', 'i needed that')
('tom es un amigo de la escuela', 'tom is a friend from school')
('tom es un feligres habitual', 'tom is a regular churchgoer')
('tu falta de responsabilidad me irrita', 'your lack of responsibility annoys me')
('tom se pregunta si es verdad', 'tom wonders if it s true')
('pronto seras capaz de esquiar bien', 'you ll soon be able to ski well')
('no sabemos que hacer', 'we don t know what to do')
('se que haras un trabajo fabuloso', 'i know you ll do a wonderful job')
('aprendi mucho este fin de semana', 'i learned a lot this weekend')
('lo tienes bien merecido', 'it serves you right')
('tom no es una persona ocupada', 'tom isn t a busy person')
('necesitan un medico', 'they need a doctor')
('ocurrio cuando no estaba mirando', 'it happened while i wasn t looking')
('estos son mis amigos', 'these are my friends')
('me arrepiento de haberte dicho la verdad', 'i regret telling you the truth')
('hey tengan cuidado con eso', 'hey be careful with that !')
('esta medicina no me hace ningun bien', 'the medicine didn t do me any good')
('tu no deberias escuchar a escondidas', 'you shouldn t eavesdrop')
('alguna vez te han besado antes ?', 'have you ever been kissed before ?')
('se ve caluroso afuera', 'it seems warm outside')
('tom le dijo a mary que el creia en lo que john decia', 'tom told mary that he believed what john said')
('creo que hice algo malo', 'i think i did something wrong')
('fuimos enmarcados', 'we were framed')
('no sabia que tom era un drogadicto', 'i didn t know tom was a drug addict')
('abre las puertas', 'open the doors')
('estaban tan felices juntos', 'they were so happy together')
('dile a tom que no queremos ir', 'tell tom that we don t want to go')
('este reloj cuesta alrededor de cincuenta mil yenes', 'this watch costs around fifty thousand yen')
('el hizo una gran fortuna durante su vida', 'he made a great fortune in his lifetime')
('ya pasa de las cinco', 'it is already past five o clock')
('quien intervino ?', 'who intervened ?')
('tom y mary estaban los dos exhaustos', 'tom and mary were both exhausted')
('hay muchas cervecerias en baviera', 'there are a lot of breweries in bavaria')
('la vuestra es mejor', 'yours is better')
('que tipo de piedra es esta ?', 'what kind of stone is this ?')
('estuve toda la tarde charlando con amigos', 'i spent the whole afternoon chatting with friends')
('no tenemos que tratar de reinventar la rueda', 'we don t have to try to reinvent the wheel')
('tomas esta comenzando a quedarse pelado', 'tom s starting to go bald')
('si tuvieras un millon de dolares que harias ?', 'if you had a million dollars what would you do ?')
('hay una urgente necesidad de profesores cualificados', 'there is an urgent need for qualified teachers')
('alguien que sabe bien ingles debio haberlo escrito', 'someone who knows english well must have written this')
('el me explico la regla', 'he explained the rule to me')
('tom acaba de mudarse a un nuevo departamento', 'tom just moved into a new apartment')
('estoy deseando que empiece el fin de semana', 'i can t wait for the weekend to begin')
('fui al super y compre un paquete de arroz', 'i went to the supermarket and bought a bag of rice')
('no es raro', 'it s not weird')
('el corrio a toda velocidad', 'he ran at full speed')
('puedes hacerme un favor pequenito ?', 'can you do me a tiny favor ?')
('creo que deberiamos empezar a hacer planes para el verano', 'i think we should start making plans for the summer')
('el payaso volvio al circo', 'the clown went back to the circus')
('lo envidio', 'i envy him')
('el es un peligro para la sociedad', 'he is a danger to society')
('era casi mediodia cuando desperte', 'it was almost noon when i woke up')
('fue tu fallo', 'it was your mistake')
('eso es todo lo que tengo que decir', 'that s all i have to say')
('me intriga la idea de tom', 'i m intrigued by tom s idea')
('puede que no sea tan facil de hacer como tu piensas', 'it may not be as easy to do as you think it ll be')
('bajo ninguna circunstancia debes abandonar la habitacion', 'under no circumstances must you leave the room')
('es muy vieja', 'it s very old')
('pense que habias puesto la alarma a las', 'i thought that you set the alarm for')
('no bebas nada de alcohol', 'don t drink any alcohol')
('esa pelicula es realmente interesante', 'that film s really interesting')
('supongo que esta bien', 'i guess it s ok')
('me has pasado tu frio', 'you ve given me your cold')
('el auto se paro en medio de la carretera', 'the car stopped in the middle of the road')
('traed ayuda', 'bring help')
('tom no sube de peso aunque coma mucho', 'tom doesn t gain weight even though he eats a lot')
('tom le pregunto a mary donde vivia john', 'tom asked mary where john lived')
('tom es el mejor', 'tom is the best')
('me estas espiando ?', 'are you spying on me ?')
('la conferencia de prensa esta agendada para dar comienzo dentro de una hora', 'the press conference is scheduled to begin one hour from now')
('cuando fue la ultima vez que cocinaste ?', 'when was the last time you cooked ?')
('se hizo amiga de ellos en el festival escolar', 'she made friends with them at the school festival')
('es patetico', 'this is pathetic')
('necesitamos un poco mas de lena', 'we need some more firewood')
('hice lo que se me ordeno', 'i did what i was told')
('tom agito los brazos', 'tom waved his arms')
('neil armstrong fue el primer astronauta en caminar sobre la luna', 'neil armstrong was the first astronaut to walk on the moon')
('tom no se lleva bien con sus vecinos', 'tom doesn t get along with his neighbors')
('lo consultare con la almohada', 'i ll sleep on it')
('esta casa y esta tierra son mias !', 'this house and this land are mine')
('necesito entrar', 'i need to go in')
('cuando eramos pequenos jugabamos juntos todos los dias', 'when we were kids we played together every day')
('eso es lo que dije todo el rato', 'that s what i said all along')
('estas ocupado ahora ?', 'are you busy now ?')
('por lo general el clima de japon es suave', 'generally speaking the climate of japan is mild')
('quien dijo eso ?', 'who said that ?')
('es todo por hoy', 'let s call it a day')
('ella esta pelando las papas', 'she is peeling the potatoes')
('sabes a que distancia esta boston de chicago ?', 'do you know how far boston is from chicago ?')
('el vendra a la fiesta', 'he will be coming to the party')
('tom podia haber ganado', 'tom may have won')
('dame tu movil', 'give me your phone')
('no conozco a nadie que sepa hablar frances', 'i don t know anybody who can speak french')
('me entretuve hasta muy tarde arreglando unas cosas', 'i was tied up until very late getting some things in order')
('he ido a roma', 'i have been to rome')
('la fiesta estuvo aburrida', 'the party was boring')
('senti que la casa temblo un poco tu no ?', 'i felt the house shake a little didn t you ?')
('ella si que se ve hermosa en un kimono japones', 'she certainly looks beautiful in a japanese kimono')
('donde esta la tienda de abastos ?', 'where is the grocery store ?')
('no estaba seguro de que estarias feliz de verme', 'i wasn t sure you d be happy to see me')
('no lo puedo aguantar', 'i can t deal with this')
('maria lleva puesto un anillo de plata', 'mary is wearing a silver ring')
('cuando yo era un nino solia ir a nadar en aquel estanque', 'when i was a child i used to swim in that pond')
('eso ha estado cerca', 'that was a close call')
('esta en el refri', 'it s in the fridge')
('estoy muy hambriento', 'i m very hungry')
('deberias ir al colegio', 'you should get to school')
('te llamare manana a las de la manana', 'i ll call for you at tomorrow morning')
('no sera mucho antes de que el nuevo trimestre empiece', 'it will not be long before the new term begins')
('somos invitados', 'we re guests')
('este calcetin tiene un agujero', 'there s a hole in this sock')
('dame un minuto vale ?', 'give me a minute ok ?')
('los trenes funcionan con gasoil ?', 'do the trains run on diesel oil ?')
('mary llevaba un vestido', 'mary was wearing a dress')
('soy camionero', 'i m a truck driver')
('eso no era necesario', 'that was not necessary')
('nunca confundas lastima con amor', 'never confuse pity with love')
('no se a que atenerme', 'i don t know what to depend on')
('tu estas escuchando algo de musica ?', 'are you listening to music ?')
('ya he comido', 'i ve already eaten')
('eso es estupido', 'that s stupid')
('me encanta flotar en el agua', 'i love to float on the water')
('tomas le dio a maria un poco de chocolate', 'tom gave mary some chocolate')
('toma tiempo afeitarse', 'shaving takes time')
('os vere mas tarde ?', 'will i see you later ?')
('los perros estan en el jardin', 'the dogs are in the garden')
('la comunicacion es buena', 'communication is good')
('si lo hiciera probablemente me detendrian', 'i d probably be arrested if i did that')
('tom se siente mareado', 'tom is feeling nauseous')
('el puede nadar mas rapido que cualquier otro chico de su clase', 'he can swim faster than any other boy in his class')
('ese cuchillo corta bien', 'that knife cuts well')
('el no ha pagado su parte del alquiler', 'he has not paid his portion of the rent')
('le vi venir en esta direccion', 'i saw him come this way')
('suelo pensar en el lugar donde te conoci', 'i often think about the place where i met you')
('cuando naciste ?', 'when were you born ?')
('alguien tomo mis zapatos por error', 'someone has taken my shoes by mistake')
('me parecio que fue un error ir a hablar con tom acerca de eso', 'i thought it was a mistake to go talk to tom about that')
('lo lograra ?', 'is he going to make it ?')
('solo queriamos asegurarnos', 'we just wanted to make sure')
('me alegro que estes de vuelta', 'i m glad you got back')
('no creo que me guste eso', 'i don t think that i like that')
('al dejar el colegio fue para africa', 'on leaving school he went to africa')
('nos llevas a casa ?', 'could you give us a ride home ?')
('no puedo saber que tengo que escribir', 'i don t know what i have to write')
('me encanta el cafe frances', 'i love french coffee')
('un ano tiene cuatro estaciones', 'there are four seasons in a year')
('me hizo cagar de risa', 'it made me laugh out loud')
('el oxigeno es indispensable para la combustion', 'oxygen is needed for combustion')
('tom no tenia tiempo para nosotras', 'tom didn t have any time for us')
('pon un huevo en agua hirviendo', 'put the egg into boiling water')
('estamos recien casados', 'we re newlyweds')
('el casi nunca le hace regalos a su esposa', 'he seldom gives his wife presents')
('ustedes estan perdidas ?', 'are you people lost ?')
('tom firmo el contrato', 'tom signed the contract')
('la puerta de tomas esta abierta', 'tom s door is open')
('no funciona aun', 'it s not yet working')
('no le he preguntado a tom', 'i haven t asked tom')
('el debe ser la persona para mi', 'he must be the one for me')
('te ayudaremos gratis', 'we ll help you for free')
('este genero es de mucha duracion', 'this material will wear very well')
('el plazo acaba el lunes', 'the deadline is monday')
('limpia el espejo', 'clean the mirror')
('tom estaba como chancho en misa', 'tom stuck out like a sore thumb')
('no puedo ayudaros', 'i can t help you')
('felicitaciones por su victoria en el torneo', 'let me congratulate you on your victory in the tournament')
('se que no quieres hablarme', 'i know you don t want to talk to me')
('tom estara solo', 'tom will be alone')
('se hacian muchas conjeturas sobre lo que iba a ocurrir', 'there was a great deal of conjecture as to what would happen')
('fue mi primera noche entre extranjeros', 'it was my first night among strangers')
('solia ser asi', 'i used to be like that')
('dame un beso !', 'give me a kiss')
('me gusta la comida coreana', 'i like korean cuisine')
('el cazador le apunto al pajaro pero fallo', 'the hunter aimed at the bird but missed')
('teniamos la intencion de hacerte participe del secreto', 'we intended to let you in on the secret')
('oimos su grito', 'we heard her cry')
('es peligroso beber en exceso', 'it is dangerous to drink too much')
